StudentID,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken
1,Male,85.0,15.0,78.0,1.0,High,80.0,False
2,Female,90.0,20.0,85.0,2.0,Medium,87.0,True
3,Male,78.0,10.0,65.0,0.0,Low,68.0,False
4,Male,92.0,25.0,90.0,3.0,High,92.0,False
5,Female,88.0,18.0,82.0,2.0,Medium,85.0,True
6,Female,95.0,30.0,88.0,1.0,High,80.0,False
7,Male,70.0,8.0,60.0,0.0,Low,62.0,False
8,Female,88.0,17.0,77.0,1.0,Medium,78.0,True
9,Male,82.0,12.0,70.0,2.0,Low,72.0,False
10,Female,91.0,22.0,86.0,3.0,High,88.0,True
2824,Male,88.0,25.0,90.0,0.0,High,87.0,True
7912,Male,85.0,20.0,78.0,3.0,Low,88.0,False
4611,Female,91.0,18.0,78.0,0.0,Low,62.0,True
6514,Male,90.0,8.0,85.0,1.0,Medium,88.0,False
2139,Male,88.0,18.0,85.0,3.0,High,62.0,False
8573,Female,88.0,12.0,90.0,1.0,High,92.0,False
5386,Male,92.0,22.0,88.0,3.0,Low,78.0,False
3340,Female,78.0,25.0,70.0,2.0,Medium,88.0,False
6930,Male,78.0,12.0,77.0,2.0,High,87.0,False
2040,Female,70.0,22.0,77.0,2.0,Medium,72.0,True
9797,Female,95.0,20.0,82.0,1.0,High,78.0,False
9201,Male,82.0,20.0,82.0,1.0,Low,80.0,True
9837,Male,91.0,30.0,77.0,1.0,High,90.0,True
1949,Male,91.0,20.0,78.0,1.0,High,72.0,False
3705,Female,88.0,17.0,60.0,3.0,Low,92.0,False
8177,Female,90.0,25.0,90.0,2.0,Medium,80.0,True
1117,Male,85.0,25.0,78.0,1.0,Medium,87.0,False
4510,Male,91.0,22.0,77.0,3.0,Medium,62.0,False
6804,Female,70.0,17.0,78.0,2.0,High,80.0,True
4139,Male,82.0,17.0,65.0,0.0,High,85.0,False
2604,Male,82.0,15.0,85.0,3.0,High,80.0,False
1960,Male,88.0,15.0,60.0,2.0,Medium,85.0,False
3536,Male,88.0,25.0,78.0,3.0,Low,72.0,True
1821,Female,82.0,12.0,65.0,1.0,Low,87.0,True
4853,Female,90.0,22.0,90.0,3.0,Low,80.0,False
1152,Female,91.0,22.0,85.0,2.0,Low,92.0,False
2127,Male,95.0,18.0,65.0,1.0,Low,85.0,True
5905,Male,78.0,18.0,85.0,2.0,Low,72.0,True
6617,Male,88.0,12.0,77.0,2.0,High,87.0,True
1058,Female,78.0,18.0,65.0,1.0,Low,62.0,True
3442,Male,95.0,22.0,70.0,0.0,Medium,68.0,True
6862,Male,92.0,20.0,88.0,2.0,Medium,88.0,True
3900,Female,85.0,10.0,88.0,0.0,Low,92.0,True
7267,Male,85.0,25.0,90.0,1.0,Medium,85.0,True
1387,Male,70.0,30.0,82.0,2.0,Medium,90.0,False
1452,Male,88.0,10.0,86.0,2.0,High,87.0,False
8149,Male,70.0,22.0,90.0,2.0,High,62.0,True
6967,Female,90.0,30.0,86.0,1.0,Low,87.0,False
7691,Female,70.0,18.0,70.0,0.0,High,62.0,True
5930,Female,82.0,17.0,82.0,1.0,High,62.0,False
8618,Female,85.0,25.0,70.0,1.0,Low,68.0,False
2530,Male,88.0,25.0,90.0,0.0,High,80.0,True
8461,Female,91.0,25.0,60.0,1.0,Medium,92.0,True
2746,Female,92.0,10.0,70.0,1.0,High,72.0,False
3184,Female,82.0,12.0,86.0,1.0,Medium,88.0,False
9976,Female,78.0,17.0,77.0,2.0,High,85.0,False
4919,Female,85.0,20.0,82.0,3.0,Medium,90.0,True
3267,Male,92.0,8.0,65.0,3.0,High,62.0,False
7812,Male,92.0,8.0,60.0,3.0,Low,80.0,False
8814,Male,95.0,18.0,60.0,0.0,Low,72.0,False
4595,Female,70.0,17.0,78.0,0.0,Medium,62.0,True
9751,Male,70.0,22.0,86.0,1.0,High,62.0,True
1823,Female,70.0,30.0,90.0,1.0,Medium,90.0,False
7906,Female,90.0,17.0,78.0,2.0,High,90.0,True
1508,Male,92.0,15.0,86.0,0.0,High,68.0,True
8619,Female,95.0,10.0,86.0,3.0,Low,87.0,False
2771,Male,88.0,22.0,60.0,0.0,Low,92.0,True
2669,Female,91.0,20.0,86.0,1.0,Medium,72.0,True
9289,Female,85.0,8.0,77.0,2.0,Medium,90.0,True
8135,Male,82.0,18.0,86.0,2.0,Medium,78.0,False
6280,Male,90.0,18.0,77.0,3.0,Medium,88.0,False
1470,Female,95.0,10.0,77.0,3.0,Medium,85.0,False
1166,Male,90.0,25.0,60.0,1.0,Low,92.0,False
8342,Male,90.0,18.0,90.0,0.0,Low,92.0,False
8753,Female,70.0,12.0,88.0,1.0,Low,78.0,True
2976,Male,95.0,20.0,70.0,0.0,High,92.0,False
2647,Male,88.0,25.0,88.0,1.0,Medium,80.0,False
1745,Male,82.0,18.0,78.0,1.0,High,80.0,False
8216,Female,78.0,15.0,82.0,1.0,High,87.0,True
3485,Male,91.0,18.0,85.0,3.0,High,72.0,True
9561,Female,85.0,17.0,82.0,3.0,Medium,85.0,True
4404,Male,88.0,20.0,65.0,1.0,High,72.0,False
8381,Female,88.0,15.0,90.0,2.0,Low,80.0,True
4824,Female,91.0,25.0,60.0,2.0,Low,92.0,True
2169,Male,78.0,18.0,86.0,3.0,Medium,78.0,False
7594,Female,82.0,12.0,77.0,1.0,High,88.0,False
5102,Male,90.0,25.0,86.0,3.0,High,85.0,True
